"","Name","Link"
"42","La Rive","http://www.tripadvisor.com/Restaurant_Review-g188590-d696959-Reviews-La_Rive-Amsterdam_North_Holland_Province.html"
"43","Seasons Restaurant","http://www.tripadvisor.com/Restaurant_Review-g188590-d697013-Reviews-Seasons_Restaurant-Amsterdam_North_Holland_Province.html"
"44","Thai Phutakun","http://www.tripadvisor.com/Restaurant_Review-g188590-d3589514-Reviews-Thai_Phutakun-Amsterdam_North_Holland_Province.html"
"45","De Kas","http://www.tripadvisor.com/Restaurant_Review-g188590-d696917-Reviews-De_Kas-Amsterdam_North_Holland_Province.html"
"46","The Lobby Restaurant and Bar","http://www.tripadvisor.com/Restaurant_Review-g188590-d4007711-Reviews-The_Lobby_Restaurant_and_Bar-Amsterdam_North_Holland_Province.html"
"47","La Zoccola del Pacioccone Pizzeria","http://www.tripadvisor.com/Restaurant_Review-g188590-d8021047-Reviews-La_Zoccola_del_Pacioccone_Pizzeria-Amsterdam_North_Holland_Province.html"
"48","Grandcafe Hermes","http://www.tripadvisor.com/Restaurant_Review-g188590-d3611395-Reviews-Grandcafe_Hermes-Amsterdam_North_Holland_Province.html"
"49","Versch","http://www.tripadvisor.com/Restaurant_Review-g188590-d3256124-Reviews-Versch-Amsterdam_North_Holland_Province.html"
"50","Restaurant Cote Ouest","http://www.tripadvisor.com/Restaurant_Review-g188590-d808741-Reviews-Restaurant_Cote_Ouest-Amsterdam_North_Holland_Province.html"
"51","JUN Indonesian Cuisine","http://www.tripadvisor.com/Restaurant_Review-g188590-d4703686-Reviews-JUN_Indonesian_Cuisine-Amsterdam_North_Holland_Province.html"
"52","The Pantry","http://www.tripadvisor.com/Restaurant_Review-g188590-d697036-Reviews-The_Pantry-Amsterdam_North_Holland_Province.html"
"53","Restaurant Luna","http://www.tripadvisor.com/Restaurant_Review-g188590-d2072803-Reviews-Restaurant_Luna-Amsterdam_North_Holland_Province.html"
"54","Breitner","http://www.tripadvisor.com/Restaurant_Review-g188590-d1988678-Reviews-Breitner-Amsterdam_North_Holland_Province.html"
"55","Toastable Koningsplein","http://www.tripadvisor.com/Restaurant_Review-g188590-d3733326-Reviews-Toastable_Koningsplein-Amsterdam_North_Holland_Province.html"
"56","Eatmosfera Ristorante","http://www.tripadvisor.com/Restaurant_Review-g188590-d4203545-Reviews-Eatmosfera_Ristorante-Amsterdam_North_Holland_Province.html"
"57","Restaurant Lastage","http://www.tripadvisor.com/Restaurant_Review-g188590-d951222-Reviews-Restaurant_Lastage-Amsterdam_North_Holland_Province.html"
"58","Frens Haringhandel","http://www.tripadvisor.com/Restaurant_Review-g188590-d3626201-Reviews-Frens_Haringhandel-Amsterdam_North_Holland_Province.html"
"59","Restaurant Sinne","http://www.tripadvisor.com/Restaurant_Review-g188590-d5062771-Reviews-Restaurant_Sinne-Amsterdam_North_Holland_Province.html"
